reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a6289923-7349-4304-b03f-36c8f379f2dc,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocI8U8DspoyvGCERx1h4LwEPXElD_oKNHafgzxaoMxfiOQ7LIA=mo,Sampe kapan ini app nya le errorr???,1,1,1.0.7,2022-02-17 01:50:24,,,1.0.7
08faee83-c58a-4a0b-91fb-d71dc429fb71,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjV79HuUmqM5e4qhI7erwz6n3GdZ81OJonu5qdrT5aYIZnmRWAxr,Thank u,5,1,1.0.7,2022-02-16 04:16:28,,,1.0.7
48e8583e-a288-46c9-bcdd-f123e5b9d45e,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUvgnkaKt12nk9x9bjXMoHnB6Y1OhILoaRQ6jI63KS8Tn8Vv26w,"Udah seminggu gak bs di pakai liat jadwal,perbaiki dong min",2,1,1.0.7,2022-02-16 01:50:04,,,1.0.7
68628163-4b61-4021-9d69-89775f293ac8,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjXJtTThyocPP3aoayUZfYZ9GlOHypuVPW5QnN3ttJFYHxHO_g,"Aplikasinya eror mulu buset dah, gak bisa lihat bis terdekat keterangannya tidak dapat terhubung keserver padahal butuh banget aplikasi ini Tolong di perbaiki ya",2,1,1.0.7,2022-02-16 00:49:18,,,1.0.7
38af0d8b-c5c4-419c-8276-695682d054ea,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjVTVhjK_ABiW6jsmQy0VlCEf466H9XWH4-7CsXj_YWiNHoSDQz2bQ,Ada masalah tidak terhubung dengan server,4,1,1.0.7,2022-02-15 11:05:18,,,1.0.7
36932c80-5056-40fd-ae5f-0b6579010da1,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjVcQjnOkeSYvUMyNkua__LTdy_dq2Qg94b12IhfmFeg--33WHIDiQ,"Beberapa hari tidak bisa terhubung ke server, mohon segera diperbaiki",3,1,1.0.7,2022-02-15 00:55:14,,,1.0.7
43137fd0-9bd6-47dc-8e08-5e838c548486,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocKy1IQ06uhbBEug2YSL06wf7Tkp9KwJ-aU-EHrAqdKSXnxAdg=mo,Kenapa aplikasi ini tidak mau nnymbung ke server? Padhal sudah update,1,1,1.0.7,2022-02-14 04:59:31,,,1.0.7
a24d4b1b-ba03-42e7-82c7-518d92014b96,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJvv-23toXHnGmr8FELFMgPNPj7qpyzf--ninooRCpODy9a7A=mo,Tidak bisa terhubung se server,1,0,,2022-02-13 23:37:48,,,
6c50d6d2-654f-49c2-b820-25477db27115,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUDCxpPQViA-W-Ps0WXXiHzADvMCwzNL2CRGaU55cJSN6EYf0k,"Knapa akhir2 ini erorr, tidak bisa melihat bis nya smp mna.. 😬🤔mhon diperbaiki lagi trmksh",4,1,1.0.7,2022-02-13 07:55:08,,,1.0.7
93a97b70-52b8-4939-a348-ade3e8940b33,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjU0wqsLh824qNP--uXIUHPsWfLUXbK90Plyz73SfQ7s1QxcCYkJ,"Dulu bisa lancar dan bagus aplikasinya, tapi... Dari kemarin aplikasi ini di perangkat saya tidak bisa dipakai, ada info tidak terhubung dengan server, itu bagaimana yaaa???",2,3,1.0.7,2022-02-13 02:05:32,,,1.0.7
5f0dce9e-1b7f-4050-b79c-a9eaa980c7d7,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjXuOLUYk-6mLRjA5TnWK7mRqaLaKAkf9pQ8v4pcyJkInky4I5qy,Kok udh 2 hari ga bs dipake sich? Parah niih...,2,1,1.0.7,2022-02-12 08:52:57,,,1.0.7
7fe72d6d-6ae4-4fcb-96fc-2f230aeee01b,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocL3596q8PwnwPYRfANsXxYytiGIbJLyECggXU_HtnflCksbCqo=mo,"Aplikasi kebanyakan erornya ketimbang membantunya. Bolak balik cek koneksi internet. Tulisannya kalo ga periksa sambungan internet null, ya periksa sambungan internet 500. Nal nul nal nul mbahmu. Pake wifi ga bs, pake paket data juga gak bisa. Percuma wess, tanya petugas halte aja sudah.",1,11,1.0.7,2022-02-12 07:29:31,,,1.0.7
bed60526-54a6-4922-8af0-9c7617922ad8,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWu2EOrp_Yg5G0sLsb4oM3Mo9zez0L9gM67ZKVGRU5_eJHYFWykDg,Semenjak pertama kali donlot mah lancar tp sekarang mulai lemot banget padahal kuota masih banyak,4,1,1.0.7,2022-02-12 04:27:15,,,1.0.7
